score,work_id,last_created_by,last_created_at,last_modified_by,last_modified_at,revision
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
4,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
3,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
4,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
4,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
4,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
4,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
1,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
3,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
3,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
4,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
3,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
4,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
4,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
3,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
1,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
3,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
4,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
4,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
3,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
3,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
3,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
4,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
3,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
4,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
2,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
4,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
4,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
4,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
4,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
4,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
4,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
4,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
4,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
3,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
4,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
4,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
3,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
4,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
4,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
3,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
4,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
4,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
4,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
1,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
4,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
3,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
1,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
4,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
4,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
4,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
4,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
4,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
4,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
4,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
4,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
3,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
3,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
4,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
4,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
1,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
1,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
3,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
4,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
1,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
4,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
3,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
1,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
3,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
4,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
4,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
3,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
3,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,33769672,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
2,34330772,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,34330772,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,34330772,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
5,34330772,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-26 10:05:50',1
